name,keysig,mode,melody
NLB070053_01,1,0,(74 67 71 74 79 79 78 76 67 69 72 78 76 74 74 67 71 74 79 81 83 81 78 76 81 79 78 76 74 76 78 79 74 67 71 74 79 81 83 81 78 76 78 79 78 76 74 76 78 79)
NLB070054_01,1,0,(62 62 67 62 67 69 71 72 71 67 71 74 74 76 74 72 71 69 69 69 71 72 72 74 76 74 72 69 71 72 74 71 71 69 72 69 66 64 66 67 69 71 72 74 74 76 74 72 72 74 76 74 72 69 71 72 74 71 71 69 72 69 66 64 66 67)
NLB070055_01,1,0,(74 74 74 67 71 74 74 72 71 72 71 72 74 76 74 69 71 74 74 76 74 72 74 76 76 74 71 74 74 72 69 71 71 74 74 76 74 72 74 76 76 74 71 74 74 72 69 67)
NLB070056_01,1,0,(74 67 71 74 74 74 79 78 76 74 72 74 74 67 71 74 76 74 74 79 78 76 74 72 74 76 76 75 76 79 78 79 74 76 76 74 72 76 74 72 74 71 72 71 69 76 74 76 74 71 71 72 71 69 76 76 74 76 74 67)
NLB070057_01,1,0,(62 67 69 71 74 76 74 71 74 71 69 67 69 71 69 67 69 62 71 72 74 76 74 74 71 69 76 74 74 72 71 67 72 69 66 67)
NLB070059_01,1,0,(74 67 71 74 79 78 76 74 72 71 72 74 76 74 69 72 71 67 62 67 71 74 79 78 76 74 72 71 72 74 76 76 74 69 72 71 67 74 74 72 69 72 74 76 74 71 74 74 72 71 69 72 74 76 74 71 62 67 71 74 79 78 79 76 79 74 76 74 69 72 71 67)
NLB070060_01,1,0,(62 67 67 67 71 69 69 67 66 64 62 66 69 69 69 67 69 71 74 69 67 69 71 71 71 74 72 71 69 72 71 67 67 71 69 67 66 64 62 62 62 64 62 64 72 71 69 67 69 71 72 72 71 67 69 67)
NLB070061_01,1,0,(62 62 67 62 67 62 67 66 67 69 71 67 69 71 69 71 72 74 72 71 69 69 69 69 69 71 72 72 72 72 72 74 72 71 71 71 71 71 71 71 69 71 72 74 72 71 69 67 69 71 67 71 72 72 72 72 72 74 72 71 71 71 71 71 71 71 69 71 72 74 72 71 69 67 69 71 67)
NLB070063_01,1,0,(71 69 67 71 71 67 67 69 72 72 69 69 71 74 74 71 69 69 71 72 76 76 76 74 71 67 74 74 74 74 74 72 69 67 71 74 74 74 76 76 76 76 74 71 67 74 74 74 74 74 76 78 79)
NLB070064_01,1,0,(62 62 62 62 71 71 71 69 67 67 62 62 72 72 72 71 69 62 62 62 71 71 71 69 67 67 62 62 64 64 64 66 66 67)
NLB070072_01,1,0,(71 71 71 71 72 74 71 72 71 72 79 78 78 69 69 69 71 72 72 74 78 76 74 72 71 76 78 79 78 76 76 74 78 76 74 72 76 74 72 71 74 71 74 73 72 81 79 71 74 73 72 66 67)
NLB070073_01,1,0,(62 64 62 67 62 71 69 67 67 72 67 72 76 74 71 69 69 69 71 72 74 71 69 67 71 69 71 67 66 64 62 62 69 69 69 66 64 62 67 62 69 69 69 66 64 62 71 67 72 72 71 67 76 76 74 72 71 72 71 69 67)
NLB070074_01,1,0,(62 67 67 67 71 71 69 74 74 74 74 72 72 71 74 76 76 76 76 74 74 71 74 74 69 69 72 74 71 74 76 76 76 76 74 74 71 74 74 69 69 72 71 67)
