uid,event,ioi,period,pulses
134a5b35081eff68-0,5,2,20,10
134a5b35081eff68-0,6,4,20,10
134a5b35081eff68-0,7,1,20,10
134a5b35081eff68-0,8,1,20,10
134a5b35081eff68-0,9,2,20,10
134a5b35081eff68-0,10,4,20,10
134a5b35081eff68-0,11,2,20,10
134a5b35081eff68-0,12,2,20,10
134a5b35081eff68-0,13,2,20,10
134a5b35081eff68-0,14,2,20,10
134a5b35081eff68-0,15,2,20,10
134a5b35081eff68-0,16,2,20,10
134a5b35081eff68-0,17,2,20,10
134a5b35081eff68-0,18,1,20,10
134a5b35081eff68-0,19,1,20,10
134a5b35081eff68-0,20,4,20,10
134a5b35081eff68-0,21,2,20,10
134a5b35081eff68-0,22,1,20,10
134a5b35081eff68-0,23,1,20,10
134a5b35081eff68-0,24,4,20,10
134a5b35081eff68-0,25,4,20,10
134a5b35081eff68-0,26,2,20,10
134a5b35081eff68-0,27,2,20,10
134a5b35081eff68-0,28,3,20,10
f7ac6b7836381825-0,0,4,16,4
f7ac6b7836381825-0,1,4,16,4
f7ac6b7836381825-0,2,4,16,4
f7ac6b7836381825-0,3,4,16,4
f7ac6b7836381825-0,4,3,16,4
f7ac6b7836381825-0,5,1,16,4
f7ac6b7836381825-0,6,1,16,4
f7ac6b7836381825-0,7,1,16,4
f7ac6b7836381825-0,8,1,16,4
f7ac6b7836381825-0,9,1,16,4
f7ac6b7836381825-0,10,8,16,4
f7ac6b7836381825-0,11,2,16,4
f7ac6b7836381825-0,12,2,16,4
f7ac6b7836381825-0,13,2,16,4
f7ac6b7836381825-0,14,2,16,4
f7ac6b7836381825-0,15,2,16,4
f7ac6b7836381825-0,16,2,16,4
f7ac6b7836381825-0,17,2,16,4
f7ac6b7836381825-0,18,2,16,4
f7ac6b7836381825-0,19,3,16,4
f7ac6b7836381825-0,20,1,16,4
f7ac6b7836381825-0,21,1,16,4
f7ac6b7836381825-0,22,1,16,4
f7ac6b7836381825-0,23,1,16,4
f7ac6b7836381825-0,24,1,16,4
f7ac6b7836381825-0,25,4,16,4
f7ac6b7836381825-0,26,1,16,4
f7ac6b7836381825-0,27,1,16,4
f7ac6b7836381825-0,28,1,16,4
ff2efebce89966a6-0,0,4,16,4
ff2efebce89966a6-0,1,4,16,4
ff2efebce89966a6-0,2,4,16,4
ff2efebce89966a6-0,3,2,16,4
ff2efebce89966a6-0,4,2,16,4
ff2efebce89966a6-0,5,2,16,4
ff2efebce89966a6-0,6,2,16,4
ff2efebce89966a6-0,7,2,16,4
ff2efebce89966a6-0,8,2,16,4
ff2efebce89966a6-0,9,2,16,4
ff2efebce89966a6-0,10,2,16,4
ff2efebce89966a6-0,11,6,16,4
ff2efebce89966a6-0,12,2,16,4
ff2efebce89966a6-0,13,2,16,4
ff2efebce89966a6-0,14,2,16,4
ff2efebce89966a6-0,15,2,16,4
ff2efebce89966a6-0,16,2,16,4
ff2efebce89966a6-0,17,2,16,4
ff2efebce89966a6-0,18,1,16,4
ff2efebce89966a6-0,19,1,16,4
ff2efebce89966a6-0,20,4,16,4
ff2efebce89966a6-0,21,4,16,4
ff2efebce89966a6-0,22,10,16,4
ff2efebce89966a6-0,23,4,16,4
ff2efebce89966a6-0,24,2,16,4
ff2efebce89966a6-0,25,2,16,4
ff2efebce89966a6-0,26,2,16,4
ff2efebce89966a6-0,27,2,16,4
ff2efebce89966a6-0,28,2,16,4
d13d6a44e26df9b5-0,0,4,16,8
d13d6a44e26df9b5-0,1,2,16,8
d13d6a44e26df9b5-0,2,1,16,8
d13d6a44e26df9b5-0,3,1,16,8
d13d6a44e26df9b5-0,4,1,16,8
d13d6a44e26df9b5-0,5,1,16,8
d13d6a44e26df9b5-0,6,6,16,8
d13d6a44e26df9b5-0,7,4,16,8
d13d6a44e26df9b5-0,8,2,16,8
